가맹번호,지역,업종,상호,소재지,위도,경도,기준일자
1437,고현동,일반음식점,정원밥상,경상남도 거제시 중곡로7길 17，1층 (고현동),34.89635429,128.6281632,2021-09-16
1439,상문동,도소매,아모레고현,경상남도 거제시 거제중앙로 1788，3층,34.87854842,128.6285306,2021-09-16
1440,아주동,도소매,백수약국,경상남도 거제시 옥포동 181(옥포동),34.88660847,128.6944839,2021-09-16
1446,능포동,휴게음식,파리바게트(능포점),경상남도 거제시 능포로 124(능포동),34.87472591,128.7315197,2021-09-16
1450,고현동,도소매,고현가스,경상남도 거제시 고현동 45(고현동),34.88718932,128.6258506,2021-09-16
1451,옥포동,도소매,아모레 새옥포동특약점,경상남도 거제시 옥포대첩로1길 6(옥포동),34.89370181,128.6883621,2021-09-16
1453,고현동,일반음식점,소담애,경상남도 거제시 거제중앙로26길 8,34.88898587,128.6235886,2021-09-16
1456,수양동,일반음식점,석 산 정,경상남도 거제시 수양로 436(수월동),34.89129345,128.642621,2021-09-16
1459,고현동,도소매,LG삼성전자마트,경상남도 거제시 고현동 121(고현동),34.88476261,128.6244428,2021-09-16
1461,고현동,일반음식점,신(新)신(新)쭈꾸미,경상남도 거제시 거제중앙로31길 14-1,34.89073301,128.6204072,2021-09-16
1468,옥포동,휴게음식,커피에 반하다,경상남도 거제시 옥포로21길 1，102호 (옥포동),34.894681,128.6905476,2021-09-16
1472,고현동,도소매,고현옷방,경상남도 거제시 고현로8길 9(고현동),34.88576771,128.6235752,2021-09-16
1473,고현동,도소매,동헌코사마트,경상남도 거제시 중곡2로4길 5 동헌상가,34.89498961,128.6270915,2021-09-16
1477,고현동,도소매,다이나핏 거제점,경상남도 거제시 서문로63(고현동),34.88975692,128.6226536,2021-09-16
1483,능포동,일반음식점,굽네치킨(장승포점),경상남도 거제시 능포로 108(능포동),34.87338485,128.7311687,2021-09-16
1484,고현동,서비스,롯데스크린골프존,경상남도 거제시 서문로 21(고현동),34.8882639,128.6184631,2021-09-16
1485,장승포동,도소매,씨유 장승포나룻터점,경상남도 거제시 장승포로3길 2(장승포동),34.86822393,128.7274261,2021-09-16
1486,사등면,도소매,씨유 거제성내공단점,경상남도 거제시 사등면 언양로 570,34.90227707,128.5541737,2021-09-16
1488,거제면,도소매,가나안슈퍼,경상남도 거제시 거제면 읍내로2길 6,34.84989177,128.5924774,2021-09-16
1492,고현동,도소매,보 금 당,경상남도 거제시 거제중앙로 1885(고현동),34.88639713,128.6238863,2021-09-16
1494,상문동,도소매,새한마음약국,경상남도 거제시 상동1길 18-7,34.86517186,128.6403611,2021-09-16
1500,능포동,도소매,일육상회,경상남도 거제시 옥수로 10길38,34.87593598,128.7311695,2021-09-16
1501,옥포동,도소매,바니플랫,경상남도 거제시 옥포로20길 26-2,34.89461908,128.6935012,2021-09-16
1506,상문동,도소매,우리동네 안경원,경상남도 거제시 상동5길 11，1층 101호 (상동동),34.86836579,128.6364155,2021-09-16
1508,옥포동,도소매,유니온베이거제옥포동점,경상남도 거제시 옥포1동 536-42,34.89295686,128.6909598,2021-09-16
1510,고현동,서비스,울산카 부분정비,경상남도 거제시 중곡2로 4길 17 (고현동),34.89398119,128.6268541,2021-09-16
