가맹번호,지역,업종,상호,소재지,위도,경도,기준일자
2,고현동,서비스,다수리부분정비,경상남도 거제시 중곡2로4길 8,34.89478449,128.6266632,2021-09-16
3,수양동,서비스,형제명품손세차,경상남도 거제시 수양로 488-1 (양정동),34.89165227,128.6378318,2021-09-16
6,장평동,일반음식점,㈜두리원,경상남도 거제시 거제대로 4943-8 (장평동),34.88903997,128.5967085,2021-09-16
7,장승포동,주유소,경인주유소,경상남도 거제시 장승포동 627,34.85914087,128.7207623,2021-09-16
10,장평동,주유소,새거제주유소,경상남도 거제시 장평동 861-3,34.89500319,128.5865435,2021-09-16
12,고현동,주유소,신진주유소,경상남도 거제시 고현동 17-1,34.88988519,128.6275012,2021-09-16
14,고현동,일반음식점,장충동B&F왕족발보쌈,경상남도 거제시 서문로 79(고현동),34.89026208,128.6243422,2021-09-16
22,능포동,도소매,대우식육점,경상남도 거제시 능포동 681-6,34.87546395,128.7317122,2021-09-16
23,고현동,도소매,토마토,경상남도 거제시 거제중앙로 1905(고현동),34.88805198,128.6228814,2021-09-16
24,옥포동,도소매,동은 BYC,경상남도 거제시 옥포동 525-15,34.89443252,128.6898562,2021-09-16
25,옥포동,도소매,세일유통,경상남도 거제시 옥포2동 529-6-11,34.90478579,128.6985218,2021-09-16
26,장목면,도소매,원진수산,경상남도 거제시 장목면 외포5길 66,34.93880059,128.7180992,2021-09-16
28,능포동,도소매,영남금당,경상남도 거제시 능포로 146(능포동),34.87648083,128.7320057,2021-09-16
29,옥포동,보건업,옥포동한의원,경상남도 거제시 옥포2동 513-3번지,34.89593192,128.6909191,2021-09-16
30,고현동,도소매,새시 장 식육점,경상남도 거제시 고현동 98-27,34.88625409,128.6236554,2021-09-16
32,고현동,일반음식점,홍길이횟집,경상남도 거제시 거제중앙로26길 7，1층 (고현동),34.88921191,128.623459,2021-09-16
33,옥포동,도소매,니트모아,경상남도 거제시 옥포2동 529-2 1호,34.89393015,128.6894253,2021-09-16
36,고현동,도소매,시 장종합화장품,경상남도 거제시 고현동 98-27,34.88625409,128.6236554,2021-09-16
44,고현동,휴게음식,크리스피크림도넛(거제점),경상남도 거제시 서문로 66，1층 (고현동),34.8894754,128.6230562,2021-09-16
47,옥포동,도소매,블랙야크 거제점,경상남도 거제시 옥포대첩로 37,34.89412415,128.6917683,2021-09-16
47,옥포동,도소매,씨저스,경상남도 거제시 옥포동 530-18,34.89412414,128.6917682,2021-09-16
48,장평동,휴게음식,파파존스 거제점,경상남도 거제시 장평로8길 23，104호 (장평동),34.89247229,128.6098514,2021-09-16
55,고현동,도소매,베이비헌트고현점,경상남도 거제시 고현동 1016-1,34.89303492,128.6302823,2021-09-16
61,고현동,도소매,빈폴거제점,경상남도 거제시 고현동 961-109,34.88847611,128.6227971,2021-09-16
64,고현동,도소매,니거제점,경상남도 거제시 고현동 961-110,34.88859352,128.6227542,2021-09-16
66,장승포동,일반음식점,맷돌순두부,경상남도 거제시 장승포동 548-17,34.86186975,128.7242202,2021-09-16
68,능포동,도소매,하음정,경상남도 거제시 옥수로2길 24 ,34.87596362,128.7310713,2021-09-16
71,장평동,일반음식점,돼지꿈,경상남도 거제시 장평동 346-81,34.89313292,128.6057425,2021-09-16
73,고현동,일반음식점,백만석,경상남도 거제시 고현동 620,34.88291641,128.620578,2021-09-16
75,고현동,도소매,포낙보청기,경상남도 거제시 고현동 117，B동 201호 (고현동，중앙상가),34.88783283,128.6251772,2021-09-16
76,옥포동,도소매,베이비몰,경상남도 거제시 옥포동 522-16 명설빌라상가 106,34.89497627,128.694095,2021-09-16
80,상문동,도소매,안경매니져 ,경상남도 거제시 거제중앙로 1726，지하1층 (상동동),34.87426144,128.6329608,2021-09-16
83,옥포동,도소매,GS25 옥포동이편한점,경상남도 거제시 성산로 33，113동 120호(옥포동，이편한세상 옥포동아파트 단지 내 상가),34.89812434,128.6953251,2021-09-16
86,아주동,도소매,CU대우조선남문점,경상남도 거제시 거제대로 3441(아주동),34.86714861,128.6940028,2021-09-16
87,옥포동,도소매,(주)대동유통,경상남도 거제시 옥포동 520-25,34.8953633,128.6926212,2021-09-16
88,고현동,도소매,(주)대동유통,경상남도 거제시 고현동 102-2,34.88535355,128.6234736,2021-09-16
89,상문동,도소매,코사마트덕산점,경상남도 거제시 상문동 50 덕산3차상가1층110호,34.86311155,128.6395904,2021-09-16
90,고현동,도소매,세일마트,경상남도 거제시 고현동 987-4,34.89699685,128.6276757,2021-09-16
92,연초면,도소매,코사할인마트,경상남도 거제시 연초면 죽토리 1104-12,34.9147523,128.6555756,2021-09-16
95,장평동,도소매,동성마트,경상남도 거제시 장평동 13-1 대한1차아파트상가 ,34.89350394,128.6126381,2021-09-16
96,사등면,도소매,코사마트 사곡옥성점,경상남도 거제시 사등면 사곡리 886-2 옥성삼화배취맨션상가 104，105호,34.89981432,128.5643221,2021-09-16
99,거제면,도소매,고려마트,경상남도 거제시 거제면 동상리 427,34.84983154,128.5900384,2021-09-16
102,장평동,도소매,코사마트장평점,경상남도 거제시 장평3로5길 31(장평동，1층),34.88184762,128.6215655,2021-09-16
106,고현동,이미용,제이엠뷰티샵,경상남도 거제시 서문로3길 11，100동 3층 35호 (고현동，화인아트빌라),34.88926321,128.6187222,2021-09-16
107,장평동,도소매,가람마트,경상남도 거제시 장평동 619-2 주공상가 102,34.89186283,128.6055472,2021-09-16
108,옥포동,목욕장업,중앙목욕탕,경상남도 거제시 옥포로20길 6 (옥포동),34.89422543,128.6913972,2021-09-16
110,장목면,도소매,영광상회,경상남도 거제시 장목면 옥포대첩 1610,34.9847759,128.6978109,2021-09-16
111,장평동,도소매,코사마트썬비취점,경상남도 거제시 장평동 1195-1 골드썬비취맨션상가 101,34.89290344,128.6155111,2021-09-16
116,고현동,일반음식점,유가네닭갈비 거제고현점,경상남도 거제시 거제중앙로 1925，1층 109호，110호 (고현동),34.8898048,128.6221069,2021-09-16
118,장승포동,도소매,다모아편의점,경상남도 거제시 장승포동 537-16,34.86315674,128.7230613,2021-09-16
119,장승포동,도소매,모닝마트,경상남도 거제시 장승포동 597,34.85956621,128.7220018,2021-09-16
120,고현동,도소매,㈜유영스포츠,경상남도 거제시 거제중앙로 1940(고현동，정흥빌딩 1층),34.89114816,128.6220733,2021-09-16
121,고현동,도소매,부광마트,경상남도 거제시 고현동 963-10,34.8904885,128.6258866,2021-09-16
122,장평동,일반음식점,코아루보쌈,경상남도 거제시 장평3로3길 25 (장평동),34.88184762,128.6215655,2021-09-16
123,장평동,이미용,홍난이피부샵,경상남도 거제시 장평동 13，2층,34.89362279,128.6123107,2021-09-16
125,장평동,주유소,장진주유소,경상남도 거제시 장평동 838-17,34.88936509,128.5984175,2021-09-16
128,능포동,도소매,신문화서적,경상남도 거제시 능포동 711-1,34.87421665,128.7307605,2021-09-16
129,옥포동,이미용,블루클럽,경상남도 거제시 옥포동 531-22 건웅데파트7호,34.89414676,128.6925453,2021-09-16
132,고현동,이미용,김영희헤어뱅크미용실,경상남도 거제시 고현동 100-9,34.88695754,128.6235951,2021-09-16
133,옥포동,이미용,박지미 헤어필,경상남도 거제시 옥포동 549-4 기산드림빌상가 104,34.88980448,128.6920602,2021-09-16
139,고현동,휴게음식,토스트 굽는 사람들,경상남도 거제시 거제중앙로5길 16 (고현동),34.87792528,128.6270053,2021-09-16
140,옥포동,이미용,다소미 미용실,경상남도 거제시 옥포동 804-2 주공아파트 상가 6호,34.89577161,128.6968808,2021-09-16
141,아주동,서비스,헤라노래연습장,경상남도 거제시 아주1로2길 18-1 (아주동),34.86771509,128.6895122,2021-09-16
143,연초면,도소매,정식품 옥포동대리점,경상남도 거제시 연초면 대금산로 16,34.93548071,128.6581928,2021-09-16
146,옥포동,이미용,까꼬뽀꼬미용실,경상남도 거제시 옥포2동 507-7,34.89649553,128.6948299,2021-09-16
148,고현동,이미용,까마까즈헤어샵,경상남도 거제시 고현동 987-14,34.89692309,128.6297322,2021-09-16
149,고현동,이미용,백말숙헤어크리닉,경상남도 거제시 고현동 79-4,34.88478029,128.6262589,2021-09-16
154,고현동,이미용,뽀대나헤어,경상남도 거제시 고현동 1014,34.89378833,128.6292815,2021-09-16
156,고현동,이미용,새리헤어매니즈,경상남도 거제시 거제중앙로 1894，2층(고현동),34.88732595,128.6238277,2021-09-16
157,고현동,이미용,도스헤어,경상남도 거제시 고현동 104-3,34.88555953,128.6237377,2021-09-16
159,고현동,이미용,서린헤어보떼,경상남도 거제시 고현동 997-4,34.8942794,128.6301934,2021-09-16
161,수양동,이미용,쎄씨헤어클럽,경상남도 거제시 양정리 108,34.88184762,128.6215655,2021-09-16
162,상문동,이미용,헤어필,경상남도 거제시 상동5길 84，105호 (상동동),34.86369617,128.6312391,2021-09-16
164,고현동,도소매,카스피,경상남도 거제시 고현동 122-1,34.88487873,128.6246515,2021-09-16
166,고현동,이미용,까꼬뽀꼬미용실,경상남도 거제시 고현동 98-17,34.88595442,128.6240798,2021-09-16
170,옥포동,도소매,거제수산업협동조합 옥포동마트,경상남도 거제시 옥포동 531-15,34.89449282,128.693511,2021-09-16
172,옥포동,도소매,거제축협옥포동지점,경상남도 거제시 옥포동 1291-3,34.89705819,128.6878431,2021-09-16
174,동부면,주유소,해금강주유소,경상남도 거제시 동부면 거제중앙로 659,34.80968527,128.6284542,2021-09-16
175,둔덕면,도소매,둔덕농협하나로마트,경상남도 거제시 둔덕면 거제남서로 4580,34.83915676,128.5087018,2021-09-16
176,고현동,도소매,거제수산업협동조합 고현마트,경상남도 거제시 고현동 43-1,34.88744268,128.6256665,2021-09-16
177,거제면,도소매,거제농협,경상남도 거제시 거제면 서상리 328,34.85031864,128.5899763,2021-09-16
178,상문동,도소매,정다운약국,경상남도 거제시 계룡로5길 13 (상동동),34.87391193,128.6273576,2021-09-16
179,고현동,도소매,아람청과,경상남도 거제시 고현동 987-6,34.89677297,128.6291292,2021-09-16
183,고현동,서비스,스튜디오티나,경상남도 거제시 고현동 987-8,34.89674258,128.6297746,2021-09-16
187,아주동,도소매,한토이 아주점,경상남도 거제시 아주1로2길 93，1층(아주동),34.868072,128.682187,2021-09-16
188,아주동,도소매,거제의료기,경상남도 거제시 아주동 470-4,34.86799705,128.692238,2021-09-16
190,고현동,서비스,종이접기,경상남도 거제시 거제중앙로 1906(고현동，한라프라자),34.88820174,128.6235608,2021-09-16
195,일운면,도소매,거제도토종양화오가피,경상남도 거제시 일운면 망치리 604-1,34.7951082,128.6624058,2021-09-16
199,옥포동,도소매,서울의료기,경상남도 거제시 옥포2동 1293-1 옥현상가 153호,34.89692013,128.6899318,2021-09-16
205,고현동,일반음식점,이가네 (바지락，오만둥이) 칼국수,경상남도 거제시 서문로 36 (고현동),34.88845417,128.6200399,2021-09-16
206,옥포동,도소매,BYC 옥포동점,경상남도 거제시 옥포동 1875 동백아파트상가 101,34.89665151,128.6896122,2021-09-16
207,옥포동,도소매,맘모스메리야스,경상남도 거제시 옥포동 529-8번지,34.89375204,128.6906273,2021-09-16
208,옥포동,도소매,골목식육점,경상남도 거제시 옥포동 525-13,34.89436606,128.6904465,2021-09-16
210,옥포동,도소매,미미화장품옥포동점,경상남도 거제시 옥포동 525-14,34.89434903,128.6902713,2021-09-16
213,장평동,휴게음식,정담국수,경상남도 거제시 장평1로14길 6 (장평동),34.88184762,128.6215655,2021-09-16
218,옥포동,서비스,중앙스튜디오,경상남도 거제시 성산로 4 (옥포동),34.89678622,128.696014,2021-09-16
219,고현동,일반음식점,이가네가야밀면,경상남도 거제시 고현로6길 22,34.88475162,128.6230752,2021-09-16
221,연초면,도소매,연초농업협동조합 오비지점,경상남도 거제시 연초면 오비4길 8-1,34.91907592,128.6202378,2021-09-16
228,고현동,도소매,㈜에이비씨마트코리아 거제점,경상남도 거제시 서문로 55(고현동),34.88948998,128.6219732,2021-09-16
229,고현동,도소매,롯데하이마트㈜고현지점,경상남도 거제시 고현동 970-18,34.8898048,128.6221069,2021-09-16
231,옥포동,휴게음식,티앙웨이 거제옥포동점,경상남도 거제시 거제대로 3726，2층 201호 (옥포동),34.88942261,128.6910505,2021-09-16
233,고현동,도소매,SOUP(숲),경상남도 거제시 고현동 82-12,34.88533756,128.624831,2021-09-16
236,고현동,휴게음식,카페그린,경상남도 거제시 고현로8길 5-1，1층 (고현동),34.8861747,128.6233157,2021-09-16
237,옥포동,이미용,국산헤어아트,경상남도 거제시 옥포동 1293-1 옥현상가 218호,34.89692013,128.6899318,2021-09-16
240,옥포동,도소매,상젤리떼안경타운,경상남도 거제시 옥포동 1294-5,34.89685125,128.6893622,2021-09-16
241,고현동,이미용,아이러브헤어,경상남도 거제시 거제중앙로17길 12(고현동),34.88494847,128.6233611,2021-09-16
242,옥포동,일반음식점,동아반점,경상남도 거제시 옥포동 542-12,34.89280954,128.6946566,2021-09-16
243,옥포동,일반음식점,복돼지,경상남도 거제시 옥포동 532-20,34.89451084,128.6950867,2021-09-16
246,고현동,일반음식점,정직유부 거제고현점,경상남도 거제시 서문로7길 11，1층 (고현동),34.89076293,128.6233614,2021-09-16
250,아주동,도소매,동원휴게실,경상남도 거제시 아주동1번지,34.88166837,128.7253131,2021-09-16
252,옥포동,도소매,작은신부 옥포동점,경상남도 거제시 옥포동 530-20 덕산2차 5-107호,34.90067335,128.6861992,2021-09-16
254,고현동,일반음식점,일품대패삼겹살,경상남도 거제시 거제중앙로26길 8-1，1층 (고현동),34.88903038,128.6236984,2021-09-16
255,연초면,도소매,거제농장,경상남도 거제시 연초면 오비리 996,34.91326222,128.6200955,2021-09-16
256,옥포동,도소매,유니네과일,경상남도 거제시 옥포동 280，111동 105호(옥포동，안성아파트상가),34.89903305,128.6877283,2021-09-16
258,고현동,도소매,농업협동조합,경상남도 거제시 고현동 961-49,34.88948037,128.623844,2021-09-16
259,일운면,제조업,일운떡방앗간,경상남도 거제시 일운면 지세포로 83-1,34.82834888,128.705046,2021-09-16
260,장평동,이미용,좌훈샵,경상남도 거제시 장평로8길 12，4층(장평동),34.89194279,128.6111713,2021-09-16
261,고현동,도소매,하청상회,경상남도 거제시 고현천로 10 (고현동),34.88184762,128.6215655,2021-09-16
263,상문동,도소매,오땡큐,경상남도 거제시 거제중앙로 1762，102호 (상동동),34.87652172,128.629959,2021-09-16
264,상문동,일반음식점,장가네 일품순두부,경상남도 거제시 상동5길 12(상동동),34.86881024,128.635894,2021-09-16
266,고현동,기타,거제시청,경상남도 거제시 고현동 717,34.88055359,128.6207681,2021-09-16
268,옥포동,도소매,미소마트,경상남도 거제시 옥포2동 521-9,34.89547222,128.6956419,2021-09-16
269,옥포동,일반음식점,옥포동숯불갈비,경상남도 거제시 옥포동 174,34.89016056,128.6944264,2021-09-16
271,고현동,도소매,모닝글로리점,경상남도 거제시 거제중앙로 1928,34.89005518,128.6225027,2021-09-16
272,능포동,도소매,옥수인삼,경상남도 거제시 옥수로10길 40，1층 104호 (능포동),34.87586288,128.7313329,2021-09-16
273,능포동,도소매,다모아종합화장품,경상남도 거제시 능포동 352-8,34.87778752,128.7335706,2021-09-16
275,고현동,도소매,스킨푸드(거제점),경상남도 거제시 고현동 98-11,34.88628868,128.6239402,2021-09-16
278,능포동,도소매,SK텔레콤장승포대리점,경상남도 거제시 능포동 710-3 문화상가 104,34.87461321,128.7307749,2021-09-16
280,장평동,이미용,쥬쥬헤어,경상남도 거제시 장평3로6길 11，2층(장평동),34.88184762,128.6215655,2021-09-16
281,옥포동,도소매,보스,경상남도 거제시 옥포동 815-10,34.89730712,128.6979222,2021-09-16
283,장승포동,이미용,빛나리이용원,경상남도 거제시 장승포동 569-4,34.86156065,128.7231457,2021-09-16
284,고현동,서비스,중곡관 행복한 태권도장,경상남도 거제시 중곡로2길 56-1，상가 201호 (고현동，거제양정대동피렌체아파트상가),34.89357885,128.6348817,2021-09-16
285,장평동,도소매,프롬벨르(frombelle),경상남도 거제시 장평동 13，1층 (장평동),34.89362279,128.6123107,2021-09-16
286,고현동,도소매,마리끌레르(제일모드),경상남도 거제시 고현동 35-8,34.88732595,128.6238277,2021-09-16
287,수양동,도소매,혜화동돈까스극장,경상남도 거제시 수양로 484 1층 105호,34.89164956,128.6383459,2021-09-16
288,고현동,제조업,중앙떡방앗간,경상남도 거제시 서문로3길 11，8(고현동，화인아트빌라상가1층),34.88926321,128.6187222,2021-09-16
289,거제면,도소매,이삭농원,경상남도 거제시 거제면 읍내로7길 24,34.84754775,128.5906673,2021-09-16
290,수양동,휴게음식,파스쿠찌 거제수월점,경상남도 거제시 해명로 24，1.2층 (수월동),34.89459989,128.642986,2021-09-16
291,옥포동,도소매,센스타24시,경상남도 거제시 옥포1동 599,34.89210374,128.6951211,2021-09-16
293,연초면,주유소,송정주유소,경상남도 거제시 연초면 송정리 592-1,34.91474306,128.6737093,2021-09-16
294,사등면,도소매,올포유 거제사등점,경상남도 거제시 사등면 두동로 4，101호 102호,34.96072517,128.5306532,2021-09-16
296,옥포동,주유소,국산주유소,경상남도 거제시 옥포동 511-7번지,34.8961692,128.6935689,2021-09-16
299,상문동,도소매,바로코사 상동점,경상남도 거제시 상문동 475-8,34.87627936,128.628021,2021-09-16
300,옥포동,도소매,옥포동영기타,경상남도 거제시 옥포대첩 8，1층 (옥포동),34.89507204,128.6931111,2021-09-16
301,고현동,도소매,고현종합시 장번영회,경상남도 거제시 고현동 98-27,34.88625409,128.6236554,2021-09-16
303,사등면,주유소,성포주유소,경상남도 거제시 사등면 성포리 388-14,34.91746874,128.5212245,2021-09-16
305,고현동,일반음식점,연화횟집,경상남도 거제시 거제중앙로 1883-2，109.110호 (고현동，고현동종합시 장),34.88625409,128.6236554,2021-09-16
306,옥포동,도소매,옥포동한우촌식육점,경상남도 거제시 옥포동 529-8번지,34.89375204,128.6906273,2021-09-16
307,옥포동,주유소,대우주유소,경상남도 거제시 옥포1동 537-1,34.89298111,128.6882795,2021-09-16
310,옥포동,도소매,1001안경원,경상남도 거제시 옥포2동 524-2,34.89469679,128.6909416,2021-09-16
312,옥포동,일반음식점,대장군보쌈,경상남도 거제시 옥포1동 158,34.89061734,128.6949444,2021-09-16
320,장평동,일반음식점,청옥횟집,경상남도 거제시 장평동 380 태경데파트 105호,34.89296521,128.610424,2021-09-16
324,능포동,도소매,대우마트,경상남도 거제시 능포동 624-2,34.87735573,128.7319259,2021-09-16
326,장평동,일반음식점,오뚜기찜나라,경상남도 거제시 장평3로4길 34，2층 (장평동),34.88184762,128.6215655,2021-09-16
327,고현동,도소매,태린약국,경상남도 거제시 거제중앙로 1844，1층 (고현동),34.88318623,128.6259624,2021-09-16
328,장평동,도소매,세일슈퍼,경상남도 거제시 장평동 56-1 장평동종합상가 174,34.89086026,128.6131107,2021-09-16
331,옥포동,도소매,제일온누리약국,경상남도 거제시 옥포동 519-22 하경빌딩 1층,34.89528364,128.6907824,2021-09-16
332,옥포동,도소매,덕산마트,경상남도 거제시 옥포동 1278 덕산마트,34.89992536,128.6861601,2021-09-16
333,옥포동,도소매,대흥마트,경상남도 거제시 옥포동 1271-1 성은상가,34.90199197,128.684164,2021-09-16
334,상문동,도소매,복골농원,경상남도 거제시 상문동 삼거리 394,34.86165055,128.6414165,2021-09-16
336,거제면,도소매,거제멸치,경상남도 거제시 거제면 남동리 29-256,34.84760174,128.5925375,2021-09-16
337,고현동,도소매,거제시 농수산물직판장,경상남도 거제시 고현동 98-13,34.88617172,128.6238955,2021-09-16
338,사등면,도소매,거제수협수산물 종합가공공장,경상남도 거제시 사등면 덕호리 1,34.88767374,128.4823619,2021-09-16
339,장평동,서비스,제니스세탁소,경상남도 거제시 장평3로3길 7，106-105 (장평동，제니스타운),34.88184762,128.6215655,2021-09-16
341,고현동,이미용,줄리엣,경상남도 거제시 고현동 37-18,34.8865666,128.6242376,2021-09-16
342,고현동,도소매,고려홍삼.건강식품,경상남도 거제시 고현동 234-2,34.88249066,128.6262415,2021-09-16
343,고현동,도소매,신홍삼에버케어,경상남도 거제시 고현동 99-9,34.88567841,128.6234104,2021-09-16
344,거제면,도소매,거제사슴영농조합,경상남도 거제시 거제면 옥산리 285-3,34.88293784,128.5910194,2021-09-16
346,옥포동,도소매,고려장수원,경상남도 거제시 옥포1동 420-2,34.89119888,128.6941397,2021-09-16
348,수양동,도소매,태평양생활대리점,경상남도 거제시 수양로 208-15,34.87413014,128.6543115,2021-09-16
349,옥포동,도소매,모닝글로리옥포동점,경상남도 거제시 옥포2동 1278 덕산2차아파트상가 104호,34.89992536,128.6861601,2021-09-16
350,옥포동,도소매,새롬커텐,경상남도 거제시 옥포동 548-7 서울상가 가-101,34.89069776,128.6919146,2021-09-16
351,고현동,도소매,라비로즈,경상남도 거제시 고현동 987-7,34.89671679,128.6295336,2021-09-16
351,옥포동,도소매,송월타올옥포동취급점,경상남도 거제시 옥포동 529-14,34.89367726,128.6895107,2021-09-16
353,고현동,도소매,아르페지오이불커텐,경상남도 거제시 거제중앙로 1839,34.88265545,128.6257505,2021-09-16
357,고현동,도소매,꽃안에서,경상남도 거제시 고현동 988-5,34.89638009,128.6284041,2021-09-16
358,고현동,휴게음식,마들렌베이커리,경상남도 거제시 고현동 80-7,34.88459635,128.6252182,2021-09-16
361,장평동,서비스,비디오빅뱅,경상남도 거제시 장평동 13,34.89362279,128.6123107,2021-09-16
363,고현동,도소매,에비뉴안경 렌즈미 거제점,경상남도 거제시 거제중앙로 1903-1，1층 (고현동),34.88795254,128.6229353,2021-09-16
365,옥포동,도소매,능포시민약국,경상남도 거제시 능포동 681-6,34.87546395,128.7317122,2021-09-16
367,옥포동,도소매,국제낚시,경상남도 거제시 옥포1동 542-16,34.89306269,128.6945274,2021-09-16
369,연초면,도소매,연초농업협동조합,경상남도 거제시 연초면 죽토리 324,34.91352903,128.6550733,2021-09-16
370,고현동,도소매,거제자동차용품마트,경상남도 거제시 고현동 971-12,34.89020015,128.6206001,2021-09-16
371,고현동,도소매,신세계자동차용품백화점,경상남도 거제시 고현동 993-1,34.8946838,128.6269579,2021-09-16
373,옥포동,이미용,강민헤어갤러리,경상남도 거제시 옥포2동 510-10,34.89623899,128.6955499,2021-09-16
379,고현동,서비스,아트십자수,경상남도 거제시 거제중앙로 1906(고현동，한라프라자),34.88820174,128.6235608,2021-09-16
380,장목면,주유소,장목주유소,경상남도 거제시 장목면 거제북로 1179,34.98836679,128.6814221,2021-09-16
381,옥포동,도소매,더데이걸,경상남도 거제시 옥포동 525-12,34.89441953,128.6905563,2021-09-16
384,장승포동,일반음식점,유람선식당,경상남도 거제시 장승로 115-3 (장승포동),34.86483331,128.7230869,2021-09-16
385,고현동,도소매,휠라인티모 거제고현점,경상남도 거제시 거제중앙로 1900，102호(고현동，청원상가),34.88778674,128.6236233,2021-09-16
386,장평동,도소매,㈜프랜드모바일,경상남도 거제시 장평3로7길 29-4 (장평동),34.88184762,128.6215655,2021-09-16
387,장평동,도소매,튼튼i약국,경상남도 거제시 장평1로 7，상가동 215호 (장평동，거제장평동유림노르웨이숲),34.88184762,128.6215655,2021-09-16
388,고현동,일반음식점,카츠탄탄 거제점,경상남도 거제시 거제중앙로31길 16，1층 (고현동),34.89045367,128.6203832,2021-09-16
389,고현동,도소매,동일거제점,경상남도 거제시 고현동 108-3,34.88515992,128.6243145,2021-09-16
390,능포동,도소매,비너스 장승포지점,경상남도 거제시 능포동 680-5,34.87495133,128.7315108,2021-09-16
391,고현동,도소매,카파거제점,경상남도 거제시 고현동 107-1,34.88580061,128.6241881,2021-09-16
393,옥포동,제조업,중앙방앗간,경상남도 거제시 옥포동 529-8번지,34.89375204,128.6906273,2021-09-16
395,수양동,교육서비스,잉글리시에그 거제통영고성,경상남도 거제시 수양로 454-4，3층 202호(수월동，대안빌딩),34.89287691,128.6415064,2021-09-16
396,옥포동,도소매,핸드폰바꾸는날,경상남도 거제시 옥포중앙로 44 (옥포동),34.89600496,128.6907556,2021-09-16
400,옥포동,도소매,아기사랑,경상남도 거제시 옥포동 536-13,34.89342716,128.6906902,2021-09-16
402,장승포동,서비스,거제시 문화예술재단,경상남도 거제시 장승포동 426-33번지,34.8671755,128.723359,2021-09-16
405,장평동,일반음식점,남도회천국,경상남도 거제시 장평동 1197-6,34.89313562,128.6141671,2021-09-16
406,장평동,일반음식점,구들목,경상남도 거제시 장평동 379-18번지 ,34.89333491,128.6104049,2021-09-16
408,장평동,도소매,푸짐한,경상남도 거제시 장평2로2길 22-5，1층 (장평동),34.88184762,128.6215655,2021-09-16
409,장평동,일반음식점,서라벌식당,경상남도 거제시 장평동 600번지,34.89368967,128.6043681,2021-09-16
410,고현동,일반음식점,까뜨리네트,경상남도 거제시 고현동 82-12번지,34.88533756,128.624831,2021-09-16
412,고현동,도소매,르까프고현점,경상남도 거제시 고현동 209-2번지 ,34.8838374,128.6255516,2021-09-16
413,옥포동,일반음식점,딸부자숫불갈비,경상남도 거제시 옥포동 1976,34.88964337,128.6950128,2021-09-16
416,옥포동,도소매,쁘띠랭,경상남도 거제시 옥포동 518-12,34.89506923,128.6904414,2021-09-16
417,장평동,일반음식점,전주식당숯놈,경상남도 거제시 장평1로 128，1층(장평동),34.88184762,128.6215655,2021-09-16
419,고현동,이미용,엘르맘,경상남도 거제시 거제중앙로1925，403호 (고현동),34.8898048,128.6221069,2021-09-16
422,고현동,도소매,SI거제점,경상남도 거제시 고현동 961-188 청원상가 107,34.88778674,128.6236233,2021-09-16
424,아주동,교육서비스,트리하우스어학원,경상남도 거제시 아주1로1길 21，1층 (아주동),34.86671587,128.6908492,2021-09-16
425,고현동,도소매,EXR거제점,경상남도 거제시 고현동 82-14 상가 5호,34.88554483,128.6248425,2021-09-16
426,하청면,휴게음식,주커피 거제점,경상남도 거제시 하청면 거제북로 700，2층,34.96770415,128.6505117,2021-09-16
427,장평동,주유소,㈜창원충전소 새거제충전소,경상남도 거제시 거제대로 5054(장평동),34.89500319,128.5865435,2021-09-16
431,장승포동,도소매,대성수산대게직판점 장승포대게직판장,경상남도 거제시 장승포동 698-6,34.86770383,128.7284715,2021-09-16
432,고현동,도소매,몬티니 거제대리점,경상남도 거제시 고현동 961-26,34.88896451,128.6224835,2021-09-16
433,상문동,도소매,주식회사 문화서적,경상남도 거제시 거제중앙로 1780-1，1층(상동동),34.87845595,128.6289784,2021-09-16
436,장평동,도소매,삼우공영(주),경상남도 거제시 장평동 600-2,34.89414122,128.6060125,2021-09-16
444,장평동,도소매,삼성수입잡화점,경상남도 거제시 장평동 600-2,34.89414122,128.6060125,2021-09-16
447,장평동,도소매,삼성양행,경상남도 거제시 장평동 600-2,34.89414122,128.6060125,2021-09-16
448,옥포동,일반음식점,필(feel),경상남도 거제시 옥포동 6길 27,34.89507204,128.6931111,2021-09-16
449,장평동,도소매,삼성안경원,경상남도 거제시 장평동 600-2,34.89414122,128.6060125,2021-09-16
451,장평동,도소매,삼성사우매장스포츠,경상남도 거제시 장평동 600-2,34.89414122,128.6060125,2021-09-16
452,고현동,도소매,갤럭시거제점,경상남도 거제시 고현동 978-1,34.88975692,128.6226536,2021-09-16
453,상문동,일반음식점,우면가,경상남도 거제시 거제중앙로5길 9，1층 (상동동),34.87796685,128.6276839,2021-09-16
455,일운면,일반음식점,해녀횟집,경상남도 거제시 일운면 구조라로 32,34.80576277,128.6948311,2021-09-16
458,고현동,도소매,태평양수산,경상남도 거제시 고현로8길 3-1(고현동),34.88631003,128.6232949,2021-09-16
459,고현동,이미용,보떼벨로,경상남도 거제시 고현동 37-34,34.88710408,128.6248981,2021-09-16
466,고현동,도소매,봉화한우정육점,경상남도 거제시 고현동 98-31,34.88621988,128.6232942,2021-09-16
468,고현동,도소매,베이직하우스(거제점),경상남도 거제시 고현동 82-52,34.88552708,128.6247877,2021-09-16
469,아주동,일반음식점,조선양곱창,경상남도 거제시 아주1로3길 66，1층 (아주동),34.86543695,128.6874698,2021-09-16
